컬렉션명,페이지_수,쿼리,평균_총_시간_ms,평균_검색_시간_ms,평균_임베딩_시간_ms
collection_0033_32000pages,32000,딥러닝 모델의 성능 향상 방법,24.91293998900801,4.385340015869588,20.527139981277287
collection_0033_32000pages,32000,자연어 처리 기술,20.263580000028014,4.226800019387156,16.036339988932014
collection_0033_32000pages,32000,컴퓨터 비전 알고리즘,20.38945999229327,2.8862800099886954,17.502859979867935
collection_0033_32000pages,32000,강화학습 기법,20.592179987579584,3.466499992646277,17.12531999219209
collection_0033_32000pages,32000,신경망 아키텍처,19.476339989341795,3.41507998527959,16.06078000040725
collection_0034_33000pages,33000,딥러닝 모델의 성능 향상 방법,23.12829999718815,4.733100009616464,18.39483998483047
collection_0034_33000pages,33000,자연어 처리 기술,17.972699995152652,3.0037199845537543,14.96862000785768
collection_0034_33000pages,33000,컴퓨터 비전 알고리즘,18.746960000135005,2.9475399991497397,15.799079998396339
collection_0034_33000pages,33000,강화학습 기법,17.366220010444522,2.773379988502711,14.592400018591434
collection_0034_33000pages,33000,신경망 아키텍처,17.676299973390996,2.571279974654317,15.104699996300042
collection_0035_34000pages,34000,딥러닝 모델의 성능 향상 방법,19.37381997704506,3.001139999832958,16.372159984894097
collection_0035_34000pages,34000,자연어 처리 기술,18.748800014145672,3.2813600031659007,15.467120008543134
collection_0035_34000pages,34000,컴퓨터 비전 알고리즘,17.749999999068677,2.6432199985720217,15.106499998364598
collection_0035_34000pages,34000,강화학습 기법,19.81408001156524,2.8798399958759546,16.933940013404936
collection_0035_34000pages,34000,신경망 아키텍처,17.793659993913025,2.8080400079488754,14.985299995169044
collection_0036_35000pages,35000,딥러닝 모델의 성능 향상 방법,24.941480008419603,3.056400013156235,21.88477999297902
collection_0036_35000pages,35000,자연어 처리 기술,17.77587999822572,2.724260010290891,15.05115998443216
collection_0036_35000pages,35000,컴퓨터 비전 알고리즘,17.868160002399236,2.7050200034864247,15.162819996476173
collection_0036_35000pages,35000,강화학습 기법,19.417159992735833,3.831420000642538,15.585359989199787
collection_0036_35000pages,35000,신경망 아키텍처,18.87129999231547,2.636240003630519,16.234719997737557
collection_0037_36000pages,36000,딥러닝 모델의 성능 향상 방법,21.77474000491202,3.728460008278489,18.045779992826283
collection_0037_36000pages,36000,자연어 처리 기술,19.622060016263276,3.1066400231793523,16.515039990190417
collection_0037_36000pages,36000,컴퓨터 비전 알고리즘,18.135939992498606,2.5549599900841713,15.580459998454899
collection_0037_36000pages,36000,강화학습 기법,21.13157999701798,3.5846999962814152,17.546439997386187
collection_0037_36000pages,36000,신경망 아키텍처,21.61041999934241,3.2280599931254983,18.381920002866536
collection_0038_37000pages,37000,딥러닝 모델의 성능 향상 방법,23.70309999678284,3.3598599955439568,20.342859998345375
collection_0038_37000pages,37000,자연어 처리 기술,18.872440000995994,3.0632599955424666,15.808820002712311
collection_0038_37000pages,37000,컴퓨터 비전 알고리즘,23.4801999758929,3.33057998213917,20.149200002197176
collection_0038_37000pages,37000,강화학습 기법,17.41929998388514,3.10040001058951,14.318519993685186
collection_0038_37000pages,37000,신경망 아키텍처,19.365599984303117,3.1470999703742564,16.218160011339933
collection_0039_38000pages,38000,딥러닝 모델의 성능 향상 방법,22.543419990688562,3.756559977773577,18.78636000910774
collection_0039_38000pages,38000,자연어 처리 기술,18.266699986997992,3.502680000383407,14.763759984634817
collection_0039_38000pages,38000,컴퓨터 비전 알고리즘,17.27798000210896,2.7151999878697097,14.562460011802614
collection_0039_38000pages,38000,강화학습 기법,19.424119999166578,3.224359988234937,16.199460008647293
collection_0039_38000pages,38000,신경망 아키텍처,20.75789999216795,2.6501400163397193,18.107439973391593
collection_0040_39000pages,39000,딥러닝 모델의 성능 향상 방법,20.228479988873005,3.273559990338981,16.954639996401966
collection_0040_39000pages,39000,자연어 처리 기술,18.734339997172356,2.9761199839413166,15.757880010642111
collection_0040_39000pages,39000,컴퓨터 비전 알고리즘,17.69416000461206,2.709560003131628,14.984300010837615
collection_0040_39000pages,39000,강화학습 기법,17.471480008680373,2.9969400027766824,14.474120002705604
collection_0040_39000pages,39000,신경망 아키텍처,19.203519984148443,3.0969999847002327,16.106119996402413
collection_0041_40000pages,40000,딥러닝 모델의 성능 향상 방법,22.063879994675517,3.279380011372268,18.784059991594404
collection_0041_40000pages,40000,자연어 처리 기술,18.14948001410812,2.6727600139565766,15.47626000829041
collection_0041_40000pages,40000,컴퓨터 비전 알고리즘,20.147020008880645,3.2129199942573905,16.933680011425167
collection_0041_40000pages,40000,강화학습 기법,17.771920014638454,2.990620001219213,14.780960010830313
collection_0041_40000pages,40000,신경망 아키텍처,21.652459993492812,3.895539976656437,17.75634001241997
collection_0060_59000pages,40000,딥러닝 모델의 성능 향상 방법,23.881160002201796,3.697619994636625,20.183200004976243
collection_0060_59000pages,40000,자연어 처리 기술,20.690399990417063,3.8194000022485852,16.870679997373372
collection_0060_59000pages,40000,컴퓨터 비전 알고리즘,19.1335599985905,2.5147799984551966,16.618479997850955
collection_0060_59000pages,40000,강화학습 기법,22.472599998582155,4.385900020133704,18.053939985111356
collection_0060_59000pages,40000,신경망 아키텍처,21.643260004930198,3.3754600095562637,18.267539993394166
collection_0042_41000pages,41000,딥러닝 모델의 성능 향상 방법,24.39567999681458,3.6502999952062964,20.745059999171644
collection_0042_41000pages,41000,자연어 처리 기술,22.869159991387278,2.980499994009733,19.888319994788617
collection_0042_41000pages,41000,컴퓨터 비전 알고리즘,17.1245000208728,2.56438001524657,14.559860003646463
collection_0042_41000pages,41000,강화학습 기법,18.02998000057414,3.1487800064496696,14.880739990621805
collection_0042_41000pages,41000,신경망 아키텍처,21.911559998989105,2.8591600130312145,19.052139995619655
collection_0043_42000pages,42000,딥러닝 모델의 성능 향상 방법,26.68751998571679,4.1197799844667315,22.56737999850884
collection_0043_42000pages,42000,자연어 처리 기술,19.916060019750148,3.8330400129780173,16.082480002660304
collection_0043_42000pages,42000,컴퓨터 비전 알고리즘,23.435879999306053,3.414659993723035,20.02080000238493
collection_0043_42000pages,42000,강화학습 기법,20.025339990388602,3.6742799915373325,16.350579995196313
collection_0043_42000pages,42000,신경망 아키텍처,21.243359986692667,3.151800006162375,18.091199977789074
collection_0044_43000pages,43000,딥러닝 모델의 성능 향상 방법,19.34311999939382,2.63610000256449,16.706680005881935
collection_0044_43000pages,43000,자연어 처리 기술,18.45826000208035,2.6958800037391484,15.761999995447695
collection_0044_43000pages,43000,컴퓨터 비전 알고리즘,21.494759991765022,3.1599799753166735,18.334320012945682
collection_0044_43000pages,43000,강화학습 기법,18.732219992671162,3.481920005287975,15.24991998448968
collection_0044_43000pages,43000,신경망 아키텍처,19.28138000657782,2.9267600155435503,16.35431998874992
collection_0045_44000pages,44000,딥러닝 모델의 성능 향상 방법,22.82598001183942,4.485419997945428,18.340140010695904
collection_0045_44000pages,44000,자연어 처리 기술,21.744339982979,4.291439976077527,17.452480003703386
collection_0045_44000pages,44000,컴퓨터 비전 알고리즘,19.934540009126067,3.3809200045652688,16.55334000242874
collection_0045_44000pages,44000,강화학습 기법,18.569079984445125,3.391039988491684,15.177639992907643
collection_0045_44000pages,44000,신경망 아키텍처,18.274299998302013,2.588339988142252,15.685640007723121
collection_0046_45000pages,45000,딥러닝 모델의 성능 향상 방법,22.680739988572896,3.3779399935156107,19.302419992163777
collection_0046_45000pages,45000,자연어 처리 기술,19.468039995990694,3.5447599948383868,15.922979998867957
collection_0046_45000pages,45000,컴퓨터 비전 알고리즘,19.378660002257675,3.0541200074367225,16.324200003873557
collection_0046_45000pages,45000,강화학습 기법,26.438940013758838,3.4403600031509995,22.997900005429983
collection_0046_45000pages,45000,신경망 아키텍처,18.368499993812293,3.039140021428466,15.329019981436431
collection_0047_46000pages,46000,딥러닝 모델의 성능 향상 방법,18.64346001530066,2.8705199947580695,15.772640018258244
collection_0047_46000pages,46000,자연어 처리 기술,19.520959991496056,3.533520014025271,15.986959973815829
collection_0047_46000pages,46000,컴퓨터 비전 알고리즘,18.466059979982674,3.0316600226797163,15.434099989943206
collection_0047_46000pages,46000,강화학습 기법,22.231719980482012,3.439079993404448,18.79213999491185
collection_0047_46000pages,46000,신경망 아키텍처,18.08535997988656,2.5026199873536825,15.5824999907054
collection_0048_47000pages,47000,딥러닝 모델의 성능 향상 방법,18.534700013697147,2.8425800031982362,15.691780007909983
collection_0048_47000pages,47000,자연어 처리 기술,17.829080007504672,3.148840006906539,14.679919998161495
collection_0048_47000pages,47000,컴퓨터 비전 알고리즘,20.28631998691708,2.896359981968999,17.389620002359152
collection_0048_47000pages,47000,강화학습 기법,18.686300003901124,3.536559990607202,15.149340010248125
collection_0048_47000pages,47000,신경망 아키텍처,20.96414000261575,2.928679995238781,18.03504000417888
collection_0049_48000pages,48000,딥러닝 모델의 성능 향상 방법,24.331280018668622,4.88046002574265,19.450259988661855
collection_0049_48000pages,48000,자연어 처리 기술,19.95506000239402,4.019899992272258,15.934700006619098
collection_0049_48000pages,48000,컴퓨터 비전 알고리즘,20.04466000944376,2.576599980238825,17.467720026616007
collection_0049_48000pages,48000,강화학습 기법,20.656660001259297,3.1263399869203568,17.529980011750013
collection_0049_48000pages,48000,신경망 아키텍처,18.17064000060782,2.7106399880722165,15.459680010098964
collection_0050_49000pages,49000,딥러닝 모델의 성능 향상 방법,19.387200009077787,2.725859999191016,16.661020007450134
collection_0050_49000pages,49000,자연어 처리 기술,18.32946001086384,3.1584400101564825,15.170440007932484
collection_0050_49000pages,49000,컴퓨터 비전 알고리즘,20.896740013267845,3.4123599994927645,17.483960010576993
collection_0050_49000pages,49000,강화학습 기법,20.756220002658665,3.9408999960869555,16.814760002307594
collection_0050_49000pages,49000,신경망 아키텍처,18.25097999535501,2.807479992043227,15.443200001027435
collection_0051_50000pages,50000,딥러닝 모델의 성능 향상 방법,25.250560010317713,3.5230399924330413,21.727140026632696
collection_0051_50000pages,50000,자연어 처리 기술,18.249740009196103,2.9221200151368976,15.327319991774857
collection_0051_50000pages,50000,컴퓨터 비전 알고리즘,18.93006000900641,2.7714600088074803,16.158299997914582
collection_0051_50000pages,50000,강화학습 기법,17.70296001341194,2.706960018258542,14.99569999286905
collection_0051_50000pages,50000,신경망 아키텍처,18.836799985729158,3.1245799851603806,15.711899998132141
collection_0052_51000pages,51000,딥러닝 모델의 성능 향상 방법,22.66842001117766,3.1997199985198677,19.468180008698255
collection_0052_51000pages,51000,자연어 처리 기술,22.062859998550266,3.8638400030322373,18.198580003809184
collection_0052_51000pages,51000,컴퓨터 비전 알고리즘,17.36044001299888,3.203400003258139,14.156740007456392
collection_0052_51000pages,51000,강화학습 기법,19.74525998812169,3.4145600046031177,16.330299980472773
collection_0052_51000pages,51000,신경망 아키텍처,19.029319984838367,2.801560005173087,16.227299987804145
collection_0053_52000pages,52000,딥러닝 모델의 성능 향상 방법,26.26988000702113,3.7522400030866265,22.517360001802444
collection_0053_52000pages,52000,자연어 처리 기술,18.26874000253156,2.815040003042668,15.453359996899962
collection_0053_52000pages,52000,컴퓨터 비전 알고리즘,18.196920002810657,2.692219999153167,15.504400013014674
collection_0053_52000pages,52000,강화학습 기법,19.649239990394562,2.927420020569116,16.721339989453554
collection_0053_52000pages,52000,신경망 아키텍처,19.55048000672832,3.3906999975442886,16.159460006747395
collection_0054_53000pages,53000,딥러닝 모델의 성능 향상 방법,20.743340020999312,3.395259997341782,17.347640020307153
collection_0054_53000pages,53000,자연어 처리 기술,17.7284799865447,2.7602599700912833,14.967900014016777
collection_0054_53000pages,53000,컴퓨터 비전 알고리즘,17.773719993419945,3.1271200045011938,14.646359987091273
collection_0054_53000pages,53000,강화학습 기법,19.62801998015493,3.0525799957104027,16.575060004834086
collection_0054_53000pages,53000,신경망 아키텍처,18.03755998844281,2.957880008034408,15.079319977667183
collection_0055_54000pages,54000,딥러닝 모델의 성능 향상 방법,24.944499984849244,4.040899989195168,20.9031599923037
collection_0055_54000pages,54000,자연어 처리 기술,18.346280010882765,2.892240008804947,15.45371999964118
collection_0055_54000pages,54000,컴퓨터 비전 알고리즘,19.600459991488606,2.7192599955014884,16.88085999339819
collection_0055_54000pages,54000,강화학습 기법,17.821060004644096,3.071380010806024,14.749339991249144
collection_0055_54000pages,54000,신경망 아키텍처,18.639539985451847,3.1550799845717847,15.484100009780377
collection_0056_55000pages,55000,딥러닝 모델의 성능 향상 방법,26.083140016999096,3.3895800122991204,22.693140001501888
collection_0056_55000pages,55000,자연어 처리 기술,19.583840016275644,3.0180000350810587,16.565479978453368
collection_0056_55000pages,55000,컴퓨터 비전 알고리즘,17.916440009139478,2.629399998113513,15.286680008284748
collection_0056_55000pages,55000,강화학습 기법,19.267220015171915,2.88438000716269,16.382480005268008
collection_0056_55000pages,55000,신경망 아키텍처,25.93578000087291,3.1864199903793633,22.74898000760004
collection_0057_56000pages,56000,딥러닝 모델의 성능 향상 방법,19.569459999911487,2.995120012201369,16.574039997067302
collection_0057_56000pages,56000,자연어 처리 기술,19.36283999821171,2.683919994160533,16.67860000161454
collection_0057_56000pages,56000,컴퓨터 비전 알고리즘,19.899240019731224,2.6819600025191903,17.216880014166236
collection_0057_56000pages,56000,강화학습 기법,17.278780008200556,2.7782399905845523,14.500240026973188
collection_0057_56000pages,56000,신경망 아키텍처,19.335059984587133,3.4312799922190607,15.903339989017697
collection_0058_57000pages,57000,딥러닝 모델의 성능 향상 방법,26.437680004164577,4.540179995819926,21.896960004232824
collection_0058_57000pages,57000,자연어 처리 기술,19.02785998536274,2.704100008122623,16.32341998629272
collection_0058_57000pages,57000,컴퓨터 비전 알고리즘,19.5538199855946,2.812120004091412,16.741379990708083
collection_0058_57000pages,57000,강화학습 기법,18.99110001977533,3.0138200032524765,15.976920013781637
collection_0058_57000pages,57000,신경망 아키텍처,21.107379987370223,2.896659984253347,18.21020001079887
collection_0059_58000pages,58000,딥러닝 모델의 성능 향상 방법,30.726920010056347,3.9011199958622456,26.825200021266937
collection_0059_58000pages,58000,자연어 처리 기술,19.06782001024112,3.754580020904541,15.312839986290783
collection_0059_58000pages,58000,컴퓨터 비전 알고리즘,17.984199977945536,2.793139999266714,15.190779988188297
collection_0059_58000pages,58000,강화학습 기법,20.357100025285035,3.3483200008049607,17.008440021891147
collection_0059_58000pages,58000,신경망 아키텍처,20.43408000608906,2.984700014349073,17.44901998899877
